,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,253.71815,262.429,272.40237,276.81366,278.7547,274.2476,272.8503,273.9726,270.52673,263.6295,245.99176,233.58005,222.16623,214.18005,213.83144,212.09477,224.62961,232.26414,239.62122,240.54144,237.77399,238.35725,224.17818,214.68353
1,229.1811,202.9686,185.40895,185.36865,184.66434,184.58852,183.84512,182.32967,183.6458,184.25096,187.22536,186.56918,187.6391,180.27582,175.01485,173.83679,177.23363,182.13739,190.39786,203.94594,205.0017,213.10762,213.50299,213.97029
2,184.91884,185.01755,183.01312,185.51,181.32874,175.35222,174.17259,177.4777,175.30269,177.37877,180.54411,180.9729,181.20062,182.9328,178.84894,181.62515,180.32034,180.367,179.07217,180.89142,180.89697,180.32352,180.0938,180.67871
3,243.56213,258.63574,267.1613,273.24356,294.34476,295.1565,308.27316,324.40118,324.10242,340.6622,355.98172,360.7697,380.85687,389.6552,396.89105,406.35342,402.7209,419.31778,434.58167,435.58582,454.99142,459.32663,477.64124,490.6562
4,183.33588,182.06279,184.51462,182.23515,183.69041,182.39896,182.7776,184.05255,184.14417,183.47495,184.2562,185.0399,182.16766,183.50783,183.80188,182.7614,184.19843,182.42197,182.37141,184.02238,183.36627,184.14803,184.07852,184.81967
5,180.86485,183.58855,181.91983,182.06984,179.42879,181.58307,183.83818,179.04475,181.80609,181.56534,177.2644,180.2983,184.575,179.28552,182.02791,181.04439,182.34312,180.35599,185.0496,183.9114,179.6482,184.75137,181.6578,178.4262
6,183.38016,184.18802,186.60844,185.85551,183.6362,187.58835,184.16052,182.89154,184.88387,185.44952,183.05353,185.31863,183.27289,185.07838,182.56569,185.56213,182.55637,181.86215,182.64433,183.04543,175.32607,179.05037,178.25072,181.04745
7,243.94058,226.56161,222.02966,210.37802,210.41125,206.1771,214.37953,220.56789,230.2931,240.27371,238.4891,239.00343,216.33836,216.9846,187.12674,190.27417,178.6563,178.1192,178.78409,184.35126,194.64668,201.11598,204.97343,197.0261
8,178.56795,187.16032,186.36847,185.68613,187.3971,184.35246,186.79568,186.03781,182.41946,181.17847,178.88094,182.12628,182.0749,183.73535,182.82483,182.48788,184.27411,180.64804,184.11359,180.45992,184.23529,182.23444,183.72565,184.92201
9,177.6452,178.5343,179.12524,179.25955,176.24513,177.67807,174.92426,176.11432,173.5403,179.38245,178.31078,176.4886,181.12077,178.19173,179.34146,175.87791,176.86266,177.99689,178.91771,174.59494,175.98575,177.74622,175.49944,176.34941
10,176.22987,176.94615,179.06073,177.51799,178.8467,177.06322,179.37631,177.07808,176.31084,177.12769,177.80307,178.66478,189.21944,189.6861,188.60783,190.15611,178.01973,180.58359,177.77467,181.51135,187.0121,190.51598,194.09346,204.1088
